iter	Passed	Remaining
236	1907	22241
237	1915	22232
238	1924	22235
239	1932	22223
240	1940	22215
241	1948	22202
242	1957	22208
243	1965	22203
244	1974	22205
245	1982	22198
246	1991	22195
247	1999	22184
248	2007	22174
249	2013	22152
250	2021	22140
251	2028	22119
252	2036	22108
253	2043	22090
254	2051	22087
255	2059	22072
256	2068	22076
257	2076	22068
258	2084	22060
259	2089	22019
260	2096	21999
261	2104	21994
262	2109	21951
263	2117	21940
264	2124	21928
265	2132	21922
266	2140	21910
267	2148	21903
268	2155	21886
269	2166	21908
270	2175	21903
271	2182	21893
272	2190	21883
273	2199	21881
274	2206	21859
275	2213	21849
276	2220	21827
277	2227	21810
278	2234	21791
279	2241	21774
280	2248	21755
281	2255	21742
282	2263	21728
283	2272	21732
284	2279	21717
285	2286	21696
286	2295	21697
287	2302	21678
288	2312	21689
289	2318	21668
290	2327	21663
291	2334	21648
292	2342	21641
293	2349	21625
294	2356	21608
295	2363	21591
296	2374	21612
297	2382	21601
298	2390	21593
299	2398	21585
300	2405	21571
301	2413	21557
302	2419	21539
303	2427	21526
304	2434	21513
305	2441	21498
306	2449	21482
307	2457	21475
308	2465	21470
309	2472	21455
310	2480	21446
311	2488	21441
312	2496	21433
313	2504	21425
314	2512	21415
315	2522	21422
316	2526	21386
317	2533	21368
318	2542	21366
319	2549	21349
320	2557	21348
321	2565	21333
322	2573	21326
323	2578	21294
324	2586	21292
325	2593	21276
326	2601	21265
327	2608	21250
328	2616	21241
329	2623	21225
330	2630	21211
331	2637	21192
332	2643	21174
333	2652	21173
334	2662	21183
335	2670	21172
336	2677	21160
337	2688	21170
338	2695	21158
339	2705	21167
340	2712	21154
341	2720	21140
342	2727	21129
343	2735	21120
344	2742	21106
345	2750	21101
346	2757	21084
347	2766	21083
348	2774	21074
349	2781	21063
350	2788	21048
351	2797	21045
352	2804	21027
353	2812	21021
354	2819	21005
355	2826	20990
356	2833	20977
357	2840	20963
358	2848	20953
359	2857	20957
360	2865	20948
361	2873	20942
362	2881	20932
363	2889	20923
364	2896	20910
365	2904	20905
366	2912	20891
367	2919	20881
368	2927	20871
369	2934	20860
370	2943	20856
371	2950	20842
372	2959	20842
373	2966	20827
374	2975	20825
375	2983	20819
376	2992	20818
377	3000	20811
378	3008	20804
379	3015	20794
380	3023	20784
381	3030	20771
382	3037	20758
383	3045	20745
384	3053	20738
385	3062	20741
386	3070	20730
387	3077	20719
388	3087	20720
389	3093	20704
390	3101	20695
391	3109	20684
392	3116	20675
393	3124	20665
394	3132	20659
395	3139	20647
396	3149	20649
397	3157	20643
398	3165	20632
399	3173	20625
400	3181	20621
401	3188	20608
402	3196	20596
403	3203	20585
404	3210	20572
405	3218	20564
406	3225	20550
407	3234	20545
408	3241	20532
409	3248	20520
410	3257	20517
411	3265	20511
412	3272	20497
413	3281	20495
414	3288	20481
415	3297	20480
416	3304	20467
417	3313	20464
418	3320	20451
419	3328	20447
420	3335	20434
421	3344	20433
422	3352	20425
423	3356	20392
424	3364	20385
425	3372	20377
426	3380	20371
427	3387	20357
428	3395	20349
429	3402	20335
430	3410	20329
431	3418	20318
432	3424	20304
433	3432	20292
434	3438	20277
435	3445	20264
436	3454	20258
437	3461	20245
438	3471	20251
439	3478	20241
440	3487	20236
441	3495	20229
442	3504	20229
443	3511	20215
444	3520	20210
445	3528	20203
446	3536	20197
447	3544	20189
448	3552	20183
449	3559	20168
450	3567	20163
451	3576	20159
452	3585	20156
453	3591	20142
454	3599	20130
455	3606	20120
456	3613	20107
457	3621	20101
458	3628	20088
459	3635	20073
460	3642	20061
461	3650	20054
462	3657	20042
463	3666	20038
464	3677	20046
465	3684	20035
466	3695	20043
467	3702	20031
468	3710	20024
469	3718	20016
470	3725	20006
471	3733	19997
472	3740	19984
473	3748	19976
474	3755	19963
475	3763	19958
476	3771	19950
477	3779	19942
478	3786	19928
479	3794	19922
480	3802	19911
481	3809	19903
482	3817	19895
483	3824	19883
484	3832	19874
485	3839	19861
486	3846	19848
487	3853	19836
488	3860	19825
489	3867	19813
490	3875	19802
491	3882	19788
492	3888	19775
493	3896	19766
494	3903	19755
495	3911	19746
496	3918	19734
497	3923	19709
498	3929	19696
499	3937	19686
500	3944	19676
501	3951	19665
502	3961	19666
503	3968	19652
504	3976	19648
505	3984	19640
506	3992	19633
507	4001	19627
508	4008	19618
509	4016	19609
510	4024	19602
511	4031	19590
512	4040	19587
513	4047	19574
514	4055	19570
515	4063	19559
516	4072	19559
517	4080	19551
518	4088	19543
519	4095	19531
520	4100	19509
521	4107	19500
522	4114	19488
523	4123	19483
524	4133	19484
525	4140	19473
526	4147	19462
527	4155	19455
528	4162	19443
529	4170	19437
530	4178	19427
531	4186	19423
532	4194	19414
533	4202	19405
534	4209	19393
535	4216	19384
536	4223	19372
537	4231	19361
538	4238	19351
539	4245	19341
540	4253	19331
541	4261	19327
542	4269	19317
543	4276	19306
544	4283	19297
545	4291	19287
546	4299	19282
547	4307	19271
548	4314	19262
549	4322	19253
550	4331	19252
551	4340	19248
552	4348	19239
553	4355	19231
554	4363	19223
555	4371	19216
556	4379	19209
557	4388	19203
558	4395	19195
559	4404	19188
560	4411	19180
561	4418	19168
562	4426	19161
563	4433	19149
564	4441	19140
565	4448	19129
566	4455	19118
567	4462	19107
568	4472	19106
569	4479	19096
570	4487	19090
571	4495	19080
572	4503	19074
573	4511	19066
574	4518	19057
575	4526	19051
576	4534	19040
577	4542	19033
578	4549	19023
579	4558	19018
580	4565	19007
581	4574	19004
582	4581	18996
583	4590	18991
584	4597	18980
585	4605	18973
586	4613	18964
587	4622	18960
588	4628	18948
589	4636	18937
590	4643	18926
591	4650	18915
592	4660	18915
593	4673	18931
594	4682	18927
595	4689	18916
596	4698	18911
597	4706	18903
598	4713	18894
599	4720	18883
600	4729	18877
601	4736	18866
602	4743	18856
603	4752	18850
604	4758	18839
605	4766	18828
606	4774	18823
607	4783	18817
608	4790	18807
609	4798	18802
610	4806	18794
611	4814	18786
612	4821	18776
613	4829	18766
614	4836	18755
615	4843	18745
616	4850	18734
617	4857	18722
618	4865	18715
619	4874	18711
620	4882	18704
621	4889	18692
622	4896	18683
623	4904	18673
624	4912	18666
625	4920	18659
626	4928	18651
627	4936	18647
628	4944	18638
629	4952	18630
630	4959	18619
631	4967	18611
632	4975	18604
633	4984	18599
634	4992	18595
635	5000	18588
636	5008	18579
637	5015	18569
638	5024	18564
639	5032	18558
640	5041	18551
641	5048	18540
642	5055	18533
643	5063	18524
644	5072	18521
645	5080	18514
646	5087	18503
647	5095	18494
648	5103	18487
649	5115	18492
650	5122	18483
651	5129	18473
652	5137	18464
653	5144	18455
654	5153	18448
655	5160	18438
656	5168	18430
657	5175	18420
658	5183	18412
659	5190	18401
660	5198	18394
661	5206	18387
662	5214	18381
663	5221	18369
664	5227	18356
665	5236	18349
666	5243	18340
667	5250	18329
668	5257	18319
669	5265	18310
670	5273	18302
671	5282	18300
672	5290	18292
673	5298	18284
674	5306	18277
675	5316	18276
676	5323	18264
677	5330	18255
678	5337	18245
679	5345	18239
680	5354	18234
681	5362	18226
682	5370	18219
683	5378	18211
684	5386	18205
685	5395	18199
686	5402	18188
687	5410	18181
688	5417	18169
689	5425	18162
690	5432	18151
691	5439	18141
692	5447	18133
693	5454	18122
694	5462	18116
695	5469	18104
696	5476	18094
697	5486	18094
698	5496	18092
699	5505	18088
700	5513	18080
701	5522	18076
702	5530	18069
703	5538	18063
704	5546	18054
705	5553	18045
706	5561	18037
707	5569	18031
708	5578	18025
709	5589	18026
710	5597	18021
711	5606	18016
712	5615	18011
713	5623	18003
714	5631	17995
715	5639	17988
716	5649	17987
717	5655	17975
718	5663	17966
719	5670	17957
720	5677	17946
721	5684	17935
722	5693	17929
723	5700	17919
724	5709	17916
725	5718	17910
726	5725	17901
727	5734	17896
728	5741	17886
729	5751	17884
730	5759	17877
731	5769	17874
732	5777	17867
733	5786	17862
734	5795	17859
735	5804	17853
736	5813	17851
737	5822	17845
738	5831	17841
739	5839	17833
740	5848	17828
741	5855	17818
742	5862	17809
743	5869	17798
744	5877	17789
745	5884	17778
746	5891	17768
747	5898	17759
748	5906	17750
749	5914	17744
750	5922	17737
751	5930	17728
752	5937	17717
753	5946	17714
754	5955	17709
755	5964	17703
756	5972	17695
757	5980	17690
758	5989	17684
759	5997	17678
760	6007	17674
761	6016	17669
762	6026	17667
763	6033	17658
764	6042	17653
765	6049	17643
766	6057	17636
767	6064	17625
768	6072	17618
769	6080	17608
770	6087	17598
771	6095	17590
772	6102	17582
773	6110	17573
774	6120	17572
775	6128	17565
776	6137	17558
777	6145	17551
778	6154	17545
779	6161	17537
780	6171	17533
781	6179	17527
782	6188	17521
783	6197	17516
784	6205	17508
785	6213	17502
786	6221	17495
787	6229	17487
788	6238	17480
789	6245	17471
790	6253	17464
791	6260	17454
792	6268	17445
793	6275	17435
794	6282	17424
795	6292	17422
796	6299	17412
797	6307	17404
798	6316	17401
799	6324	17393
800	6333	17387
801	6340	17376
802	6349	17373
803	6357	17364
804	6366	17359
805	6374	17351
806	6383	17346
807	6391	17338
808	6400	17333
809	6408	17326
810	6417	17320
811	6426	17315
812	6433	17307
813	6442	17302
814	6466	17336
815	6480	17345
816	6487	17334
817	6494	17324
818	6501	17314
819	6508	17303
820	6516	17294
821	6524	17287
822	6532	17280
823	6540	17271
824	6548	17263
825	6556	17257
826	6564	17249
827	6574	17246
828	6582	17238
829	6592	17235
830	6600	17228
831	6609	17223
832	6618	17218
833	6630	17219
834	6638	17211
835	6646	17204
836	6655	17199
837	6663	17192
838	6672	17185
839	6679	17175
840	6687	17167
841	6694	17157
842	6701	17147
843	6708	17137
844	6717	17130
845	6724	17120
846	6734	17119
847	6741	17108
848	6750	17101
849	6758	17094
850	6767	17088
851	6775	17081
852	6783	17074
853	6791	17065
854	6799	17058
855	6807	17051
856	6815	17042
857	6822	17032
858	6830	17023
859	6837	17014
860	6845	17005
861	6852	16996
862	6860	16989
863	6868	16980
864	6874	16968
865	6882	16960
866	6889	16950
867	6897	16940
868	6904	16930
869	6912	16922
870	6918	16911
871	6926	16903
872	6935	16898
873	6944	16892
874	6951	16883
875	6961	16878
876	6968	16869
877	6976	16861
878	6985	16855
879	6993	16848
880	6998	16832
881	7006	16824
882	7013	16814
883	7020	16805
884	7028	16796
885	7036	16788
886	7044	16782
887	7052	16774
888	7061	16767
889	7069	16761
890	7078	16754
891	7085	16744
892	7093	16736
893	7100	16725
894	7107	16716
895	7114	16707
896	7122	16698
897	7130	16689
898	7139	16684
899	7146	16675
900	7154	16666
901	7162	16658
902	7171	16653
903	7179	16645
904	7188	16640
905	7196	16632
906	7205	16627
907	7213	16619
908	7222	16614
909	7231	16609
910	7240	16603
911	7249	16598
912	7257	16589
913	7268	16589
914	7276	16579
915	7284	16572
916	7291	16562
917	7298	16553
918	7305	16543
919	7313	16534
920	7318	16519
921	7325	16510
922	7332	16500
923	7342	16495
924	7349	16487
925	7358	16480
926	7366	16473
927	7374	16465
928	7380	16452
929	7388	16445
930	7398	16441
931	7406	16433
932	7414	16425
933	7422	16417
934	7431	16411
935	7439	16405
936	7448	16399
937	7455	16390
938	7464	16383
939	7468	16366
940	7478	16362
941	7485	16352
942	7493	16346
943	7500	16335
944	7508	16327
945	7515	16318
946	7523	16309
947	7530	16300
948	7540	16295
949	7547	16287
950	7556	16281
951	7564	16273
952	7574	16269
953	7582	16261
954	7590	16253
955	7599	16249
956	7609	16245
957	7617	16237
958	7626	16231
959	7634	16222
960	7642	16214
961	7651	16209
962	7660	16203
963	7668	16196
964	7675	16186
965	7683	16179
966	7690	16168
967	7697	16158
968	7705	16149
969	7711	16139
970	7719	16129
971	7726	16120
972	7733	16111
973	7741	16103
974	7751	16099
975	7759	16090
976	7767	16082
977	7774	16073
978	7783	16068
979	7792	16061
980	7800	16053
981	7807	16044
982	7816	16038
983	7823	16027
984	7832	16022
985	7839	16012
986	7847	16004
987	7855	15996
988	7864	15991
989	7872	15982
990	7880	15975
991	7887	15965
992	7895	15957
993	7902	15947
994	7909	15939
995	7917	15929
996	7924	15919
997	7933	15914
998	7940	15904
999	7950	15900
1000	7958	15892
1001	7966	15885
1002	7975	15878
1003	7982	15870
1004	7990	15862
1005	7998	15854
1006	8007	15847
1007	8014	15837
1008	8021	15828
1009	8029	15820
1010	8036	15810
1011	8044	15802
1012	8051	15793
1013	8064	15794
1014	8073	15788
1015	8080	15779
1016	8089	15772
1017	8096	15763
1018	8104	15755
1019	8111	15745
1020	8118	15736
1021	8125	15726
1022	8132	15716
1023	8140	15708
1024	8148	15700
1025	8156	15692
1026	8163	15683
1027	8171	15675
1028	8178	15666
1029	8188	15660
1030	8195	15651
1031	8203	15643
1032	8210	15634
1033	8219	15628
1034	8227	15619
1035	8235	15611
1036	8242	15602
1037	8250	15594
1038	8257	15584
1039	8268	15583
1040	8276	15574
1041	8284	15567
1042	8291	15557
1043	8300	15551
1044	8307	15541
1045	8315	15533
1046	8322	15523
1047	8325	15506
1048	8333	15499
1049	8342	15494
1050	8350	15486
1051	8358	15476
1052	8366	15469
1053	8373	15460
1054	8382	15453
1055	8389	15443
1056	8394	15431
1057	8401	15422
1058	8410	15414
1059	8417	15405
1060	8425	15397
1061	8434	15391
1062	8442	15384
1063	8451	15377
1064	8460	15371
1065	8467	15363
1066	8475	15355
1067	8483	15345
1068	8491	15338
1069	8498	15329
1070	8505	15319
1071	8512	15309
1072	8520	15301
1073	8527	15292
1074	8535	15284
1075	8542	15274
1076	8553	15272
1077	8560	15263
1078	8569	15256
1079	8577	15249
1080	8586	15243
1081	8595	15235
1082	8602	15227
1083	8610	15219
1084	8618	15211
1085	8625	15201
1086	8632	15192
1087	8640	15183
1088	8647	15173
1089	8657	15169
1090	8665	15162
1091	8672	15153
1092	8679	15143
1093	8687	15135
1094	8694	15126
1095	8702	15117
1096	8709	15108
1097	8716	15099
1098	8724	15092
1099	8732	15084
1100	8740	15075
1101	8750	15071
1102	8757	15062
1103	8766	15054
1104	8773	15045
1105	8782	15039
1106	8789	15029
1107	8797	15022
1108	8804	15013
1109	8812	15005
1110	8821	14998
1111	8828	14989
1112	8835	14979
1113	8843	14971
1114	8851	14964
1115	8860	14957
1116	8867	14949
1117	8876	14941
1118	8883	14932
1119	8891	14924
1120	8898	14915
1121	8905	14906
1122	8913	14897
1123	8920	14888
1124	9027	15045
1125	9034	15035
1126	9047	15035
1127	9054	15027
1128	9062	15017
1129	9070	15010
1130	9078	15002
1131	9086	14993
1132	9094	14985
1133	9101	14976
1134	9109	14968
1135	9116	14958
1136	9125	14951
1137	9132	14942
1138	9141	14936
1139	9151	14931
1140	9158	14922
1141	9165	14912
1142	9173	14903
1143	9180	14893
1144	9188	14886
1145	9195	14875
1146	9202	14866
1147	9209	14856
1148	9216	14846
1149	9222	14836
1150	9229	14826
1151	9241	14824
1152	9250	14818
1153	9257	14809
1154	9265	14800
1155	9272	14791
1156	9279	14781
1157	9287	14773
1158	9294	14763
1159	9302	14756
1160	9309	14746
1161	9317	14738
1162	9324	14728
1163	9332	14720
1164	9339	14711
1165	9347	14703
1166	9354	14693
1167	9363	14685
1168	9370	14677
1169	9379	14669
1170	9386	14660
1171	9394	14653
1172	9401	14643
1173	9409	14635
1174	9415	14624
1175	9423	14616
1176	9431	14608
1177	9440	14600
1178	9447	14591
1179	9456	14586
1180	9465	14578
1181	9472	14569
1182	9480	14561
1183	9487	14552
1184	9496	14545
1185	9503	14535
1186	9511	14528
1187	9519	14519
1188	9528	14512
1189	9535	14503
1190	9543	14495
1191	9550	14486
1192	9560	14481
1193	9568	14472
1194	9576	14464
1195	9587	14461
1196	9594	14452
1197	9601	14442
1198	9609	14434
1199	9616	14424
1200	9623	14415
1201	9630	14405
1202	9637	14396
1203	9645	14387
1204	9654	14381
1205	9663	14374
1206	9671	14367
1207	9679	14358
1208	9688	14351
1209	9695	14343
1210	9703	14335
1211	9711	14326
1212	9719	14318
1213	9726	14309
1214	9734	14301
1215	9741	14292
1216	9749	14283
1217	9757	14275
1218	9766	14268
1219	9773	14260
1220	9782	14253
1221	9789	14243
1222	9797	14235
1223	9804	14225
1224	9812	14217
1225	9819	14208
1226	9826	14199
1227	9833	14190
1228	9840	14180
1229	9848	14171
1230	9855	14162
1231	9865	14157
1232	9872	14148
1233	9879	14138
1234	9887	14130
1235	9896	14123
1236	9904	14115
1237	9911	14106
1238	9918	14097
1239	9927	14090
1240	9935	14082
1241	9942	14073
1242	9951	14066
1243	9960	14060
1244	9967	14050
1245	9977	14044
1246	9985	14036
1247	9993	14029
1248	10000	14020
1249	10009	14012
1250	10016	14003
1251	10024	13995
1252	10033	13989
1253	10040	13979
1254	10048	13971
1255	10055	13962
1256	10065	13956
1257	10073	13948
1258	10081	13941
1259	10090	13934
1260	10098	13926
1261	10107	13919
1262	10115	13911
1263	10124	13905
1264	10132	13897
1265	10141	13890
1266	10149	13882
1267	10157	13875
1268	10166	13868
1269	10175	13860
1270	10183	13852
1271	10190	13843
1272	10198	13835
1273	10205	13826
1274	10212	13817
1275	10222	13811
1276	10229	13802
1277	10237	13793
1278	10244	13784
1279	10251	13775
1280	10259	13767
1281	10266	13758
1282	10273	13748
1283	10280	13739
1284	10287	13730
1285	10294	13720
1286	10301	13711
1287	10308	13702
1288	10315	13692
1289	10323	13684
1290	10331	13676
1291	10338	13667
1292	10345	13658
1293	10352	13648
1294	10361	13641
1295	10368	13632
1296	10375	13623
1297	10385	13618
1298	10394	13611
1299	10402	13603
1300	10413	13598
1301	10422	13592
1302	10431	13585
1303	10439	13577
1304	10448	13571
1305	10458	13565
1306	10468	13559
1307	10476	13552
1308	10486	13546
1309	10494	13539
1310	10503	13531
1311	10512	13525
1312	10521	13519
1313	10530	13511
1314	10541	13508
1315	10551	13501
1316	10559	13494
1317	10572	13491
1318	10580	13483
1319	10588	13476
1320	10596	13468
1321	10606	13462
1322	10614	13454
1323	10623	13447
1324	10630	13438
1325	10638	13430
1326	10645	13421
1327	10652	13412
1328	10660	13403
1329	10667	13394
1330	10675	13386
1331	10683	13378
1332	10693	13373
1333	10701	13364
1334	10709	13357
1335	10719	13350
1336	10727	13343
1337	10737	13337
1338	10746	13330
1339	10755	13323
1340	10764	13317
1341	10773	13309
1342	10783	13305
1343	10792	13297
1344	10801	13290
1345	10809	13283
1346	10819	13277
1347	10826	13268
1348	10834	13260
1349	10842	13251
1350	10850	13243
1351	10857	13234
1352	10866	13228
1353	10873	13218
1354	10881	13210
1355	10889	13202
1356	10898	13195
1357	10907	13188
1358	10916	13181
1359	10924	13173
1360	10932	13165
1361	10942	13159
1362	10949	13151
1363	10959	13144
1364	10967	13136
1365	10976	13129
1366	10983	13120
1367	10992	13113
1368	11001	13107
1369	11012	13102
1370	11020	13094
1371	11028	13086
1372	11035	13077
1373	11043	13069
1374	11050	13060
1375	11058	13051
1376	11065	13042
1377	11072	13033
1378	11080	13024
1379	11088	13017
1380	11097	13010
1381	11104	13001
1382	11113	12993
1383	11122	12987
1384	11130	12979
1385	11140	12973
1386	11147	12964
1387	11171	12973
1388	11178	12965
1389	11186	12957
1390	11194	12949
1391	11205	12944
1392	11213	12936
1393	11223	12930
1394	11230	12920
1395	11238	12913
1396	11245	12904
1397	11253	12895
1398	11260	12886
1399	11267	12877
1400	11274	12868
1401	11282	12860
1402	11290	12851
1403	11297	12842
1404	11306	12835
1405	11315	12828
1406	11323	12820
1407	11332	12813
1408	11340	12805
1409	11350	12799
1410	11359	12792
1411	11368	12785
1412	11376	12777
1413	11385	12770
1414	11393	12762
1415	11402	12754
1416	11410	12747
1417	11421	12742
1418	11430	12735
1419	11438	12727
1420	11446	12718
1421	11453	12709
1422	11461	12702
1423	11469	12693
1424	11476	12684
1425	11483	12675
1426	11491	12666
1427	11500	12659
1428	11507	12651
1429	11518	12645
1430	11527	12638
1431	11535	12630
1432	11543	12623
1433	11550	12614
1434	11559	12606
1435	11568	12599
1436	11576	12591
1437	11583	12582
1438	11591	12573
1439	11599	12565
1440	11607	12557
1441	11614	12548
1442	11622	12540
1443	11631	12534
1444	11640	12526
1445	11647	12517
1446	11655	12509
1447	11662	12500
1448	11669	12491
1449	11677	12482
1450	11684	12473
1451	11692	12465
1452	11699	12456
1453	11707	12448
1454	11715	12439
1455	11722	12431
1456	11732	12424
1457	11739	12415
1458	11747	12407
1459	11756	12400
1460	11764	12392
1461	11772	12384
1462	11780	12375
1463	11788	12368
1464	11795	12359
1465	11803	12351
1466	11811	12342
1467	11820	12335
1468	11828	12327
1469	11836	12319
1470	11845	12312
1471	11853	12304
1472	11860	12295
1473	11868	12287
1474	11875	12278
1475	11883	12270
1476	11890	12261
1477	11898	12252
1478	11906	12244
1479	11914	12236
1480	11922	12228
1481	11930	12219
1482	11938	12212
1483	11947	12205
1484	11955	12197
1485	11964	12189
1486	11971	12181
1487	11983	12176
1488	11991	12168
1489	11999	12160
1490	12006	12151
1491	12014	12143
1492	12022	12135
1493	12030	12127
1494	12039	12120
1495	12048	12112
1496	12055	12103
1497	12063	12095
1498	12070	12086
1499	12078	12078
1500	12086	12070
1501	12093	12061
1502	12100	12052
1503	12108	12044
1504	12115	12035
1505	12122	12026
1506	12130	12017
1507	12137	12008
1508	12148	12003
1509	12156	11995
1510	12164	11986
1511	12172	11979
1512	12180	11970
1513	12187	11962
1514	12197	11956
1515	12206	11948
1516	12213	11939
1517	12221	11931
1518	12228	11922
1519	12236	11914
1520	12244	11906
1521	12251	11897
1522	12258	11888
1523	12266	11880
1524	12275	11872
1525	12282	11863
1526	12290	11855
1527	12297	11846
1528	12305	11838
1529	12312	11829
1530	12319	11820
1531	12327	11812
1532	12335	11804
1533	12342	11794
1534	12349	11786
1535	12358	11778
1536	12367	11771
1537	12374	11763
1538	12383	11755
1539	12390	11747
1540	12399	11739
1541	12407	11731
1542	12415	11723
1543	12424	11715
1544	12432	11708
1545	12439	11699
1546	12448	11692
1547	12456	11683
1548	12465	11676
1549	12473	11668
1550	12481	11660
1551	12488	11651
1552	12498	11645
1553	12505	11636
1554	12513	11628
1555	12521	11619
1556	12528	11611
1557	12539	11606
1558	12547	11597
1559	12555	11589
1560	12564	11582
1561	12573	11575
1562	12581	11567
1563	12588	11558
1564	12594	11547
1565	12600	11538
1566	12609	11531
1567	12617	11523
1568	12626	11515
1569	12634	11508
1570	12642	11499
1571	12649	11490
1572	12657	11482
1573	12666	11475
1574	12674	11467
1575	12682	11459
1576	12690	11451
1577	12697	11442
1578	12706	11434
1579	12712	11425
1580	12719	11416
1581	12726	11407
1582	12733	11398
1583	12742	11390
1584	12748	11381
1585	12756	11373
1586	12765	11365
1587	12773	11357
1588	12780	11348
1589	12790	11342
1590	12798	11334
1591	12810	11329
1592	12819	11323
1593	12828	11315
1594	12836	11307
1595	12844	11299
1596	12853	11292
1597	12861	11284
1598	12869	11275
1599	12877	11268
1600	12886	11260
1601	12895	11253
1602	12903	11245
1603	12910	11236
1604	12918	11228
1605	12926	11219
1606	12933	11211
1607	12940	11202
1608	12947	11193
1609	12960	11189
1610	12967	11180
1611	12976	11173
1612	12985	11165
1613	12992	11156
1614	13001	11149
1615	13009	11141
1616	13018	11134
1617	13026	11126
1618	13035	11119
1619	13044	11111
1620	13052	11103
1621	13060	11095
1622	13068	11087
1623	13077	11080
1624	13085	11072
1625	13094	11064
1626	13101	11056
1627	13109	11047
1628	13116	11039
1629	13123	11030
1630	13130	11021
1631	13137	11012
1632	13145	11004
1633	13153	10995
1634	13162	10988
1635	13172	10982
1636	13180	10974
1637	13189	10966
1638	13196	10958
1639	13207	10952
1640	13215	10944
1641	13225	10938
1642	13233	10929
1643	13242	10922
1644	13250	10914
1645	13259	10907
1646	13267	10899
1647	13276	10891
1648	13283	10883
1649	13291	10875
1650	13299	10866
1651	13307	10858
1652	13314	10849
1653	13322	10841
1654	13329	10832
1655	13337	10824
1656	13344	10815
1657	13352	10807
1658	13361	10800
1659	13371	10793
1660	13378	10784
1661	13388	10778
1662	13395	10769
1663	13402	10761
1664	13411	10753
1665	13420	10746
1666	13429	10738
1667	13437	10730
1668	13442	10720
1669	13452	10713
1670	13460	10705
1671	13469	10698
1672	13477	10690
1673	13485	10682
1674	13492	10673
1675	13502	10666
1676	13509	10657
