iter	RMSE
0	0.7582168463
1	0.7335597071
2	0.7100116278
3	0.6882171425
4	0.6674466386
5	0.6485753785
6	0.6298655146
7	0.6127838157
8	0.5962997619
9	0.5809727754
10	0.5662045216
11	0.552416049
12	0.5400557416
13	0.5277951184
14	0.5164108692
15	0.5053229752
16	0.4953634664
17	0.4858666938
18	0.4766012695
19	0.4687442669
20	0.4609180538
21	0.4534847477
22	0.446491526
23	0.4398174311
24	0.4338133815
25	0.4285433248
26	0.4231636945
27	0.4183803214
28	0.4137252155
29	0.4095527791
30	0.4057304016
31	0.4020035835
32	0.398153807
33	0.3947788706
34	0.3918336797
35	0.3884978371
36	0.3854241205
37	0.3827140953
38	0.3801468789
39	0.3775991225
40	0.375315349
41	0.3730561894
42	0.3712551571
43	0.3693224503
44	0.3674575242
45	0.365864468
46	0.3643703317
47	0.3629180391
48	0.3613175559
49	0.3598349121
50	0.358497754
51	0.3571955894
52	0.355956782
53	0.3547849007
54	0.3537609812
55	0.3526939955
56	0.3516682792
57	0.3505174726
58	0.3495637404
59	0.3486680485
60	0.3478076592
61	0.3470668259
62	0.3463176171
63	0.3456692833
64	0.3450268307
65	0.344206852
66	0.3436145529
67	0.342934688
68	0.342213479
69	0.3414932576
70	0.3407844388
71	0.340204116
72	0.3396289262
73	0.3390486794
74	0.3384527505
75	0.3379927775
76	0.3374541442
77	0.3370052157
78	0.3365048261
79	0.3361452452
80	0.3356461039
81	0.3351429087
82	0.3346323792
83	0.3342332606
84	0.3337478881
85	0.3332215961
86	0.3328352273
87	0.3324854272
88	0.3321275937
89	0.3318325479
90	0.3313234796
91	0.3309539175
92	0.330682689
93	0.3303229449
94	0.3299082106
95	0.3295583355
96	0.3292366147
97	0.3288388655
98	0.3284972822
99	0.3282920739
100	0.328039788
101	0.3277921025
102	0.3275833424
103	0.327183028
104	0.3267135457
105	0.3264770094
106	0.3261758881
107	0.3258409383
108	0.3255966225
109	0.3253683602
110	0.325042197
111	0.3247845225
112	0.3245016728
113	0.3241955877
114	0.3238824009
115	0.3236795762
116	0.3234347594
117	0.3231788309
118	0.3229119471
119	0.3226898517
120	0.3224788601
121	0.3222614013
122	0.3220781576
123	0.3218895019
124	0.3216314416
125	0.3214844435
126	0.3212467644
127	0.3210808093
128	0.3208330902
129	0.3206081395
130	0.3204569031
131	0.3202359447
132	0.3200179267
133	0.3197810542
134	0.3196323722
135	0.3195103875
136	0.319394411
137	0.319043644
138	0.3188162003
139	0.3185849863
140	0.3183483202
141	0.3181113969
142	0.3179633589
143	0.3176711078
144	0.3174248036
145	0.3173113259
146	0.3170494531
147	0.3168333287
148	0.3166215398
149	0.3163783317
150	0.3162275447
151	0.3159832539
152	0.315811265
153	0.3156205619
154	0.3154732786
155	0.315217655
156	0.3149286253
157	0.3148202986
158	0.3146501359
159	0.3145210546
160	0.3142709234
161	0.3141520044
162	0.314039931
163	0.313877058
164	0.3136988191
165	0.3135665966
166	0.3133383705
167	0.3131361526
168	0.3129383733
169	0.3127616578
170	0.3125814524
171	0.3124009971
172	0.3122123133
173	0.3120133691
174	0.3118791142
175	0.3116144591
176	0.3114855261
177	0.3112973917
178	0.3111316286
179	0.3110568322
180	0.310882984
181	0.3107612307
182	0.3106086293
183	0.3104475951
184	0.3102407715
185	0.3100648314
186	0.3098717821
187	0.3096295752
188	0.3094602248
189	0.3093108297
190	0.3091071187
191	0.3089644385
192	0.3088236322
193	0.3085868475
194	0.3083982329
195	0.3082566073
196	0.3079987952
197	0.3078015951
198	0.3076684829
199	0.3075055677
200	0.3074037314
201	0.307109278
202	0.3068512058
203	0.3067136931
204	0.3064592864
205	0.3062770027
206	0.3060233875
207	0.3058571941
208	0.3057055183
209	0.3054858212
210	0.3053317123
211	0.3051428611
212	0.3050243541
213	0.3048922944
214	0.3047363873
215	0.3045741227
216	0.3043753485
217	0.3042783492
218	0.3041003039
219	0.3039829872
220	0.3038247461
221	0.3036685421
222	0.3035289204
223	0.3034048648
224	0.3032370811
225	0.3031054077
226	0.302950555
227	0.3028198967
228	0.3027060913
229	0.3025150415
230	0.3023626233
231	0.302237945
232	0.3020207985
233	0.3020170577
234	0.3020124375
235	0.3018437124
236	0.3016949827
237	0.3016139145
238	0.3014591774
239	0.3011789463
240	0.3010553301
241	0.3009361889
242	0.300755621
243	0.3006268451
244	0.3005039693
245	0.30042651
246	0.3002923514
247	0.300288397
248	0.3002786133
249	0.3002301313
250	0.300226207
251	0.3001206665
252	0.2999670691
253	0.2998002379
254	0.2997008395
255	0.2995704601
256	0.2995659829
257	0.2993165394
258	0.299186007
259	0.2991823119
260	0.2990516217
261	0.298989487
262	0.2989848913
263	0.2988767458
264	0.2988718447
265	0.2987588447
266	0.2986250212
267	0.298467153
268	0.2983682584
269	0.2982296314
270	0.298225264
271	0.2982204334
272	0.2982169796
273	0.2980521874
274	0.2980487949
275	0.2978392238
276	0.2978358921
277	0.2976882305
278	0.2976848104
279	0.2974817702
280	0.2973938085
281	0.297389104
282	0.2972532945
283	0.2971624921
284	0.2970683574
285	0.297063894
286	0.2970594269
287	0.296899535
288	0.2967955515
289	0.2967910394
290	0.2966399956
291	0.2966367191
292	0.296411109
293	0.2964075554
294	0.2962847641
295	0.2961682691
296	0.2961177423
297	0.295951802
298	0.2958384657
299	0.2958348556
300	0.2956999943
301	0.2956020283
302	0.2955979091
303	0.2954229974
304	0.2952722593
305	0.2951336912
306	0.2950034355
307	0.2949996599
308	0.2947917239
309	0.2947877256
310	0.294632867
311	0.2944802807
312	0.2943497021
313	0.2941492135
314	0.2940296533
315	0.2938666407
316	0.2938629328
317	0.2937552113
318	0.2936914877
319	0.2936880666
320	0.2935534145
321	0.2934568001
322	0.2933496246
